"Trigger name","Trigger type","Trigger time","Status","Pipelines","Run","Message","Properties","Run ID"
"Trigger_CountryData_Noon","ScheduleTrigger","7/19/2025, 12:00:00 PM","Succeeded","","Original","","{""TriggerTime"":""07/19/2025 06:30:00"",""ScheduleTime"":""07/19/2025 06:30:00"",""triggerObject"":""{\n  \""name\"": \""Trigger_421B8CAF-BE66-42CF-83DA-E3028693F304\"",\n  \""startTime\"": \""2025-07-19T06:30:00.3679642Z\"",\n  \""endTime\"": \""2025-07-19T06:30:00.368101Z\"",\n  \""scheduledTime\"": \""2025-07-19T06:30:00Z\"",\n  \""trackingId\"": \""5fd946fc-12be-437d-84c0-2aedc57bcb62\"",\n  \""clientTrackingId\"": \""08584487002851096221575066999CU30\"",\n  \""originHistoryName\"": \""08584487002851096221575066999CU30\"",\n  \""code\"": \""OK\"",\n  \""status\"": \""Succeeded\""\n}""}","08584487002851096221575066999CU30"
"Trigger_DailyCountryData","ScheduleTrigger","7/19/2025, 12:00:01 AM","Succeeded","","Original","","{""TriggerTime"":""07/18/2025 18:30:01"",""ScheduleTime"":""07/18/2025 18:30:00"",""triggerObject"":""{\n  \""name\"": \""Trigger_421B8CAF-BE66-42CF-83DA-E3028693F304\"",\n  \""startTime\"": \""2025-07-18T18:30:01.0440849Z\"",\n  \""endTime\"": \""2025-07-18T18:30:01.044199Z\"",\n  \""scheduledTime\"": \""2025-07-18T18:30:00Z\"",\n  \""trackingId\"": \""3a8acc60-cc1d-4b8f-a4fd-4b9c6af6501e\"",\n  \""clientTrackingId\"": \""08584487434844335003154987660CU22\"",\n  \""originHistoryName\"": \""08584487434844335003154987660CU22\"",\n  \""code\"": \""OK\"",\n  \""status\"": \""Succeeded\""\n}""}","08584487434844335003154987660CU22"
